,att_id,att_name,att_cat,att_price,score
79,82,Bảo tàng Dân tộc học Việt Nam,"Văn hóa, lịch sử, nghệ thuật",354982,3.2917699521087727
1,2,Hanoi Studio Gallery,"Văn hóa, lịch sử, nghệ thuật",1951,3.289703021676381
168,176,Quảng Trường Đông Kinh Nghĩa Thục,"Đi dạo, ngắm cảnh",463683,3.2840152982170068
25,27,An Nhien Cafe Khuc Hao,"Đồ uống, thư giãn",41917,3.283216378298114
37,40,Công viên Thủ Lệ,"Công viên, giải trí, đi dạo, ngắm cảnh",568177,3.277660586568466
160,168,Kem Tràng Tiền Hồ Gươm,"Ẩm thực, nghỉ ngơi",368928,3.2755789970549856
110,114,Cháo Hồng Lương Sử,"Ẩm thực, nghỉ ngơi",626667,3.2604581549200944
54,57,Quán Cháo Sườn sụn Đội Cấn,"Ẩm thực, nghỉ ngơi",291595,3.231440503920574
64,67,Twitter Beans Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",634854,3.2302238001908634
42,45,AHA Cafe,"Đồ uống, thư giãn",898826,3.2217361922450536
105,109,Công Viên 1/6,"Công viên, đi dạo, ngắm cảnh",17924,3.1861512729213004
9,10,Manzi Art Space and Cafe,"Đồ uống, thư giãn",197745,3.160820380813611
136,143,Phở đường tàu ( Various Beef Noodles),"Ẩm thực, nghỉ ngơi",549520,3.1545829418137075
66,69,Highlands Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",758676,3.135680056759959
28,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",116520,3.1244218824898766
100,103,Cộng Cà Phê Thái Hà,"Đồ uống, thư giãn",765550,3.075504528923098
97,100,Chè Thanh Vĩnh Hồ,"Ẩm thực, nghỉ ngơi",130857,3.0539996569775028
20,22,Cột cờ Hà Nội,"Văn hóa, lịch sử, nghệ thuật",991362,3.018700589734827
43,46,Paris Gateaux Cafe,"Đồ uống, thư giãn",931441,2.9906577676271766
95,98,Cộng Cà phê Đường Láng,"Đồ uống, thư giãn",676269,2.9460501838981727
47,50,Phê La Núi Trúc,"Đồ uống, thư giãn",859799,2.943719390006315
124,130,Vincom Center Bà Triệu,Trung tâm thương mại,436358,2.928642525114661
74,77,Bún Riêu Bề Bề Tiến Huân,"Ẩm thực, nghỉ ngơi",372286,2.920704632709395
96,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",410539,2.849586100845677
112,116,Bánh Đúc Nóng Trung Tự,"Ẩm thực, nghỉ ngơi",923260,2.8345752018189003
134,141,Dream Beans Coffee Roastery,"Đồ uống, thư giãn",435582,2.8319145786027278
141,149,Nhà hàng chay Sadhu,Ẩm thực chay,82722,2.8136127158732833
49,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",851755,2.78272603203596
52,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",987828,2.7779984783873815
109,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",9676,2.7731902997928657
14,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",642997,2.7657654752254146
44,47,Highlands Coffee VTV,"Đồ uống, thư giãn",400304,2.7558192887120683
98,101,Quán Bánh mì 35,"Ẩm thực, nghỉ ngơi",365785,2.7522498024688744
76,79,Cốm Làng Vòng Bà Hoản,"Ẩm thực, nghỉ ngơi",689225,2.721663629793703
142,150,Highlands Coffee Lê Duẩn,"Đồ uống, thư giãn",878897,2.694984102226563
90,93,Nhà Hàng Vịt Vân Đình Minh Phương,"Ẩm thực, nghỉ ngơi",82089,2.676755534902533
162,170,Green Palm Gallery,"Triển lãm, nghệ thuật",366307,2.6644345772540916
30,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",152360,2.661576056443316
145,153,Tam An Lac,Ẩm thực chay,594200,2.630432838687078
153,161,Bún riêu Huyền Thu,"Ẩm thực, nghỉ ngơi",313476,2.6250089786871555
41,44,Highlands Coffee Kim Mã,"Đồ uống, thư giãn",77394,2.6247964220114923
164,172,Nhà hát Lớn Hà Nội,"Văn hóa, lịch sử, nghệ thuật",855820,2.579910315741948
183,192,Vinhomes Royal City,Trung tâm thương mại,326249,2.5636827129854467
78,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",61296,2.523568137607718
115,119,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,636954,2.5191044474186057
108,112,The Coffee House Hào Nam,"Đồ uống, thư giãn",764715,2.5113351344457655
55,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",127826,2.5098399081755147
29,32,Quán Bánh Cuốn Nóng Gia Truyền Đội Cấn,"Ẩm thực, nghỉ ngơi",104805,2.4963315649595117
32,35,Đình Làng Thành Công,"Văn hóa, lịch sử, nghệ thuật",101859,2.4957452017162822
125,131,Bánh Cuốn Bà Hoành,"Ẩm thực, nghỉ ngơi",133737,2.495605940446019
60,63,Twitter Beans Coffee Hoàng Đạo Thúy,"Đồ uống, thư giãn",844696,2.4860189014191363
70,73,Công viên Cầu Giấy,"Công viên, đi dạo, ngắm cảnh",626318,2.468919083338342
34,37,Miến Lươn Huyền Trang,"Ẩm thực, nghỉ ngơi",463803,2.452669491960229
106,110,Nhà hát Múa rối Việt Nam,Biểu diễn nghệ thuật dân gian,543614,2.4507418227980864
129,136,Vincom Mega Mall Times City,Trung tâm thương mại,178104,2.418916957771579
148,156,Quán Chay Bồ Đề,Ẩm thực chay,564464,2.4065373637988117
117,121,Công viên Thống Nhất,"Đi dạo, ngắm cảnh",465213,2.3975073698530096
146,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",840778,2.376750111042533
24,26,Cộng Cà Phê đường Điện Biên Phủ,"Đồ uống, thư giãn",583768,2.352775183934817
57,60,Pizza 4P's Phan Ké Bính,"Ẩm thực, nghỉ ngơi",778422,2.325927076935251
50,53,Miến lươn Sành Phố Cổ,"Ẩm thực, nghỉ ngơi",379066,2.3146615731246314
63,66,Cafe Nhạc Trịnh,"Đồ uống, thư giãn",69700,2.3047740229355966
61,64,Vincom Center Trần Duy Hưng,Trung tâm thương mại,342989,2.2918667020439116
156,164,Bún Đậu Cô Tuyến Mắm Tôm Hàng Khay,"Ẩm thực, nghỉ ngơi",937965,2.271175409098298
84,87,Văn Miếu – Quốc Tử Giám,"Văn hóa, lịch sử, nghệ thuật",915018,2.254991783585048
169,177,Hồ Gươm (Phố đi bộ hồ Gươm),"Đi dạo, ngắm cảnh",966805,2.2521625809364494
51,54,Cộng Cà Phê Vạn Phúc,"Đồ uống, thư giãn",544284,2.2478747997203
10,11,TỔ CHIM XANH - BLUEBIRDS' NEST,"Đồ uống, thư giãn",610738,2.2326000372340573
111,115,Buffet Chay Hương Thiền,Ẩm thực chay,612297,2.2188205010180653
103,107,Công viên Văn hóa Đống Đa,"Công viên, văn hóa, lịch sử",432697,2.2160206165316296
80,83,The Coffee House Nguyễn Khánh Toàn,"Đồ uống, thư giãn",18618,2.2061917026669207
46,49,Vincom Metropolis Liễu Giai,Trung tâm thương mại,32546,2.1903012587752855
85,88,Highlands Coffee Pullman HN,"Đồ uống, thư giãn",800184,2.1756421776944492
31,34,Công viên Indira Gandhi,"Công viên, đi dạo, ngắm cảnh",789826,2.1695366704242716
119,125,MONO Coffee Lab,"Đồ uống, thư giãn",484246,2.1659525251000034
158,166,The Coffee House,"Đồ uống, thư giãn",20347,2.143194301721998
126,132,Vua Chả Cá Mai Hắc Đế,"Ẩm thực, nghỉ ngơi",859225,2.0987772860470457
48,51,GoGi House,"Ẩm thực, nghỉ ngơi",843611,2.096417173993025
72,75,KF POOL ARENA,"Vui chơi, giải trí",753658,2.0692465672096816
173,181,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",463529,2.0594762896692984
137,144,Phở Biên,"Ẩm thực, nghỉ ngơi",85823,2.044839197210088
4,5,Đường Phan Đình Phùng,"Đi dạo, ngắm cảnh",217221,2.0397744846966432
2,3,STAR3 CLUB,"Vui chơi, giải trí về đêm",804894,2.025547846507685
127,134,Highlands Coffee Trần Đại Nghĩa,"Đồ uống, thư giãn",616485,2.02223489418342
83,86,Công Viên Thiên Đường Bảo Sơn,"Công viên, sở thú, vui chơi, giải trí",496226,2.0116143899403554
62,65,Trung Nguyên Legend Café,"Đồ uống, thư giãn",966819,1.9856091801029336
149,157,Chùa Quán Sứ,"Văn hóa tôn giáo, tâm linh",307802,1.9726725410490857
143,151,Kem Trứng Bà Khanh,"Ẩm thực, nghỉ ngơi",489144,1.9662885112383819
81,84,Công viên Nghĩa Đô,"Công viên, đi dạo, ngắm cảnh",957567,1.9590542547249825
13,14,Bánh cuốn Bà Xuân,"Ẩm thực, nghỉ ngơi",264552,1.944123980644143
87,90,PHỞ GÀ VĂN MIẾU 17,"Ẩm thực, nghỉ ngơi",484027,1.9420057434279627
180,189,Trill Rooftop Cafe,"Đồ uống, thư giãn",360927,1.9400194379415083
116,120,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,529411,1.936633190211829
36,39,Phở Lý Quốc Sư,"Ẩm thực, nghỉ ngơi",383746,1.9355337591307702
152,160,Di tích Nhà tù Hỏa Lò,"Văn hóa, lịch sử, nghệ thuật",963179,1.9349400663470036
33,36,Tiny Cafe,"Đồ uống, thư giãn",308757,1.9117420705365689
123,129,Highlands Coffee Lò Đúc,"Đồ uống, thư giãn",821714,1.9039141212393886
23,25,Tượng đài Bắc Sơn,"Văn hóa, lịch sử, nghệ thuật",688232,1.8916957771585103
58,61,Joma Bakery Café • Liễu Giai,"Đồ uống, thư giãn",649718,1.8732839713209657
19,21,Bảo tàng Lịch sử Quân sự Việt Nam,"Văn hóa, lịch sử, nghệ thuật",613208,1.8602886959428062
147,155,Nhà hàng Chay Vị Lai,Ẩm thực chay,631357,1.831454283456786
122,128,Vườn Hoa Pasteur,"Công viên, đi dạo, ngắm cảnh",989333,1.8050459488896493
88,91,Ga Cát Linh,"Tàu điện, chụp ảnh",258107,1.7826761911602844
21,23,Hoàng Thành Thăng Long,"Văn hóa, lịch sử, nghệ thuật",39092,1.7821411347008294
22,24,Điện Kính Thiên,"Văn hóa, lịch sử, nghệ thuật",913720,1.737152414863722
113,117,Chùa Bộc,"Văn hóa tôn giáo, tâm linh",419241,1.7103556146479306
165,173,Bảo tàng Lịch sử Quốc gia,"Văn hóa, lịch sử, nghệ thuật",979377,1.6911448888914933
53,56,Bánh Xèo Nem Lụi Ngọc Dương Đội Cấn,"Ẩm thực, nghỉ ngơi",453179,1.6866738691618295
89,92,Chùa Láng,"Văn hóa tôn giáo, tâm linh",253955,1.6849440975942898
138,146,Maison Sen Buffet,"Ẩm thực, nghỉ ngơi",788907,1.664648599837868
12,13,Chùa Châu Long,"Văn hóa tôn giáo, tâm linh",340476,1.630075157108699
144,152,Namaste Ha Noi,"Ẩm thực, nghỉ ngơi",575203,1.605763071136117
139,147,THE WISELANDS Coffee,"Đồ uống, thư giãn",501301,1.5988513144064953
177,185,Du lịch sinh thái Bản Rõm,"Du lịch sinh thái, cắm trại",597285,1.5945708627308974
15,16,Vườn Bách Thảo Hà Nội,"Công viên, đi dạo, ngắm cảnh, cắm trại",490032,1.5884360372985569
163,171,Quán Kem Xôi Thu Nga,"Ẩm thực, nghỉ ngơi",351018,1.5851670622175291
155,163,Phê La Lý Thường Kiệt,"Đồ uống, thư giãn",536182,1.5835325746770152
128,135,Công viên Tuổi Trẻ Thủ Đô,"Công viên, đi dạo, ngắm cảnh",442764,1.569174004758331
65,68,The Coffee House Vũ Phạm Hàm,"Đồ uống, thư giãn",132153,1.5300782355157239
11,12,Phở Cuốn Hương Mai,"Ẩm thực, nghỉ ngơi",311895,1.5293379519211427
45,48,Bún Chả Ngọc Khánh,"Ẩm thực, nghỉ ngơi",712234,1.5049599000836977
68,71,Highlands Coffee Trung Kính,"Đồ uống, thư giãn",290240,1.4963916671919506
17,18,Cafe Goethe,"Đồ uống, thư giãn",293689,1.4702325370031772
75,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",789514,1.4625145308141256
133,140,KAFA Café,"Đồ uống, thư giãn",743765,1.4579775452195989
91,94,Bún Đậu Chùa Láng,"Ẩm thực, nghỉ ngơi",601399,1.4436409639225332
73,76,Starbucks Duy Tân,"Đồ uống, thư giãn",993312,1.4297441550578966
135,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394,1.408356555760946
151,159,San Ho seafood restaurant,"Ẩm thực, nghỉ ngơi",230338,1.4013934922475428
132,139,Cháo Sườn Sụn Huyền Anh Đồng Xuân,"Ẩm thực, nghỉ ngơi",424380,1.3984470169502927
69,72,AHA Cafe Trung Kính,"Đồ uống, thư giãn",321167,1.3957863937341202
40,43,Thạch Dừa Đồng Tháp,"Đồ uống, thư giãn",742534,1.3955591779773684
175,183,Điểm Cắm Trại Hồ Hàm Lợn,"Cắm trại, leo núi, trekking",926175,1.3867710588693996
8,9,Vườn Hoa Hàng Đậu,"Đi dạo, ngắm cảnh",295232,1.3646211873562493
101,105,Tiny Cafe Dreamers,"Đồ uống, thư giãn",636333,1.364415960221116
159,167,Tràng Tiền Plaza,Trung tâm thương mại,42068,1.340836828302578
161,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",758680,1.3347386505729446
140,148,Cung Văn hóa Lao động Hữu nghị Việt - Xô,"Văn hóa, lịch sử, nghệ thuật",93014,1.314120653032738
93,96,La Mensa,"Đồ uống, thư giãn",81565,1.305090659086943
166,174,Phở 10 Lý Quốc Sư,"Ẩm thực, nghỉ ngơi",197573,1.30103742316809
39,42,Bò King Beefsteak,"Ẩm thực, nghỉ ngơi",91502,1.2905561801952885
86,89,Nguyen Art Gallery - Vietnam Artworks & Paintings,"Triển lãm, nghệ thuật",128975,1.2889949880601748
178,187,Nhà văn hóa quận Thanh Xuân,"Tổ hợp thể thao, đi dạo ngắm cảnh",728171,1.253791204844532
71,74,Chùa Cót,"Văn hóa tôn giáo, tâm linh",667564,1.2487997877365018
171,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",338034,1.19212045073742
182,191,Vinhomes Royal City,Trung tâm thương mại,245168,1.1913728376023016
3,4,Bốt Nước Hàng Đậu,"Đi dạo, ngắm cảnh",161794,1.1704250107377732
77,80,Gác Trịnh Cafe Trần Thái Tông,"Đồ uống, thư giãn",51918,1.138446225359914
172,180,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",359546,1.1277011189276536
92,95,Nhà Hàng Chả Cá Lão Ngư,"Ẩm thực, nghỉ ngơi",877421,1.0671737731448516
6,7,Cửa Bắc thành Hà Nội,"Văn hóa, lịch sử, nghệ thuật",167320,0.9873917243623609
174,182,Hồ Đồng Đò,"Du lịch nghỉ dưỡng, cắm trại, bơi thuyền, ngắm cảnh",356398,0.9423590272820164
18,19,Bảo tàng Mỹ thuật Việt Nam,"Văn hóa, lịch sử, nghệ thuật",261830,0.8408888680404161
67,70,Cộng Cà Phê Trung Hòa,"Đồ uống, thư giãn",825878,0.838242903905325
130,137,VinKE & Thủy Cung Times City,"Thủy cung, vui chơi giải trí",828679,0.614721235584625
94,97,Highlands coffee Yên Lãng,"Đồ uống, thư giãn",321576,0.17217823683504463
59,62,Soya Garden,"Đồ uống, thư giãn",88239,0.12104736202505961
38,41,Haan Vegan - Buffet Chay,"Ẩm thực, nghỉ ngơi",662727,0.0
