,att_id,att_name,att_cat,att_price,score
75,77,Bún Riêu Bề Bề Tiến Huân,"Ẩm thực, nghỉ ngơi",372286,2.860826323168588
134,141,Dream Beans Coffee Roastery,"Đồ uống, thư giãn",435582,2.8232489192662698
95,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",410539,2.7824293141722123
13,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",642997,2.766919324687457
50,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",851755,2.7615959808388837
53,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",987828,2.72490945203878
77,79,Cốm Làng Vòng Bà Hoản,"Ẩm thực, nghỉ ngơi",689225,2.7015057249678662
108,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",9676,2.6924947423764465
45,47,Highlands Coffee VTV,"Đồ uống, thư giãn",400304,2.6825563734081115
97,101,Quán Bánh mì 35,"Ẩm thực, nghỉ ngơi",365785,2.682052517817503
29,31,Bảo tàng Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",433781,2.6813880126182923
142,150,Highlands Coffee Lê Duẩn,"Đồ uống, thư giãn",878897,2.672077637574482
90,93,Nhà Hàng Vịt Vân Đình Minh Phương,"Ẩm thực, nghỉ ngơi",82089,2.6608832807570977
31,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",152360,2.6331274097441266
42,44,Highlands Coffee Kim Mã,"Đồ uống, thư giãn",77394,2.61059995326557
153,161,Bún riêu Huyền Thu,"Ẩm thực, nghỉ ngơi",313476,2.5889195583596134
181,192,Vinhomes Royal City,Trung tâm thương mại,326249,2.5838517934338157
163,172,Nhà hát Lớn Hà Nội,"Văn hóa, lịch sử, nghệ thuật",855820,2.5594695642014287
145,153,Tam An Lac,Ẩm thực chay,594200,2.547727538263807
30,32,Quán Bánh Cuốn Nóng Gia Truyền Đội Cấn,"Ẩm thực, nghỉ ngơi",104805,2.5210670054912967
113,119,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,636954,2.519818319897176
71,73,Công viên Cầu Giấy,"Công viên, đi dạo, ngắm cảnh",626318,2.5057906881645025
56,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",127826,2.479173968921593
61,63,Twitter Beans Coffee Hoàng Đạo Thúy,"Đồ uống, thư giãn",844696,2.4738506250730197
107,112,The Coffee House Hào Nam,"Đồ uống, thư giãn",764715,2.4625102231569045
33,35,Đình Làng Thành Công,"Văn hóa, lịch sử, nghệ thuật",101859,2.4557045215562496
79,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",61296,2.4458829886669022
124,131,Bánh Cuốn Bà Hoành,"Ẩm thực, nghỉ ngơi",133737,2.4385515247108245
35,37,Miến Lươn Huyền Trang,"Ẩm thực, nghỉ ngơi",463803,2.4170244771585416
129,136,Vincom Mega Mall Times City,Trung tâm thương mại,178104,2.3824775090547874
148,156,Quán Chay Bồ Đề,Ẩm thực chay,564464,2.375387019511628
105,110,Nhà hát Múa rối Việt Nam,Biểu diễn nghệ thuật dân gian,543614,2.35182994508704
24,26,Cộng Cà Phê đường Điện Biên Phủ,"Đồ uống, thư giãn",583768,2.3458493982941846
146,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",840778,2.3363418623670995
115,121,Công viên Thống Nhất,"Đi dạo, ngắm cảnh",465213,2.3300035050823666
51,53,Miến lươn Sành Phố Cổ,"Ẩm thực, nghỉ ngơi",379066,2.3214379600420543
64,66,Cafe Nhạc Trịnh,"Đồ uống, thư giãn",69700,2.320415644350966
58,60,Pizza 4P's Phan Ké Bính,"Ẩm thực, nghỉ ngơi",778422,2.2997794719009264
62,64,Vincom Center Trần Duy Hưng,Trung tâm thương mại,342989,2.286664622035282
156,164,Bún Đậu Cô Tuyến Mắm Tôm Hàng Khay,"Ẩm thực, nghỉ ngơi",937965,2.2485541535225977
9,11,TỔ CHIM XANH - BLUEBIRDS' NEST,"Đồ uống, thư giãn",610738,2.230451863535457
85,87,Văn Miếu – Quốc Tử Giám,"Văn hóa, lịch sử, nghệ thuật",915018,2.220929723098486
47,49,Vincom Metropolis Liễu Giai,Trung tâm thương mại,32546,2.2109621451104076
110,115,Buffet Chay Hương Thiền,Ẩm thực chay,612297,2.1952038789578197
167,177,Hồ Gươm (Phố đi bộ hồ Gươm),"Đi dạo, ngắm cảnh",966805,2.1806358803598513
86,88,Highlands Coffee Pullman HN,"Đồ uống, thư giãn",800184,2.1731291622853135
52,54,Cộng Cà Phê Vạn Phúc,"Đồ uống, thư giãn",544284,2.152850800327137
32,34,Công viên Indira Gandhi,"Công viên, đi dạo, ngắm cảnh",789826,2.144445904895427
119,125,MONO Coffee Lab,"Đồ uống, thư giãn",484246,2.137377322117068
81,83,The Coffee House Nguyễn Khánh Toàn,"Đồ uống, thư giãn",18618,2.1292353078630626
49,51,GoGi House,"Ẩm thực, nghỉ ngơi",843611,2.0942209954433864
158,166,The Coffee House,"Đồ uống, thư giãn",20347,2.0865317209954455
73,75,KF POOL ARENA,"Vui chơi, giải trí",753658,2.085903727070921
171,181,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",463529,2.08063880126182
125,132,Vua Chả Cá Mai Hắc Đế,"Ẩm thực, nghỉ ngơi",859225,2.0711531720995353
127,134,Highlands Coffee Trần Đại Nghĩa,"Đồ uống, thư giãn",616485,2.0487352494450235
1,3,STAR3 CLUB,"Vui chơi, giải trí về đêm",804894,2.0073898819955573
3,5,Đường Phan Đình Phùng,"Đi dạo, ngắm cảnh",217221,1.9917703586867574
84,86,Công Viên Thiên Đường Bảo Sơn,"Công viên, sở thú, vui chơi, giải trí",496226,1.9760193947891125
149,157,Chùa Quán Sứ,"Văn hóa tôn giáo, tâm linh",307802,1.964781224442099
137,144,Phở Biên,"Ẩm thực, nghỉ ngơi",85823,1.9639998831639147
114,120,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,529411,1.9572818086225041
12,14,Bánh cuốn Bà Xuân,"Ẩm thực, nghỉ ngơi",264552,1.9518489309498719
143,151,Kem Trứng Bà Khanh,"Ẩm thực, nghỉ ngơi",489144,1.9452988082719926
82,84,Công viên Nghĩa Đô,"Công viên, đi dạo, ngắm cảnh",957567,1.926568524360313
34,36,Tiny Cafe,"Đồ uống, thư giãn",308757,1.9192954784437362
63,65,Trung Nguyên Legend Café,"Đồ uống, thư giãn",966819,1.9091526463371835
152,160,Di tích Nhà tù Hỏa Lò,"Văn hóa, lịch sử, nghệ thuật",963179,1.8994990653113675
37,39,Phở Lý Quốc Sư,"Ẩm thực, nghỉ ngơi",383746,1.8974398294193193
179,189,Trill Rooftop Cafe,"Đồ uống, thư giãn",360927,1.891123378899401
23,25,Tượng đài Bắc Sơn,"Văn hóa, lịch sử, nghệ thuật",688232,1.886997604860376
147,155,Nhà hàng Chay Vị Lai,Ẩm thực chay,631357,1.8746421895081156
19,21,Bảo tàng Lịch sử Quân sự Việt Nam,"Văn hóa, lịch sử, nghệ thuật",613208,1.8599646570861026
59,61,Joma Bakery Café • Liễu Giai,"Đồ uống, thư giãn",649718,1.8484855123261994
126,133,Starbucks Ba Trieu,"Đồ uống, thư giãn",449917,1.8346477392218716
21,23,Hoàng Thành Thăng Long,"Văn hóa, lịch sử, nghệ thuật",39092,1.8233876621100578
122,128,Vườn Hoa Pasteur,"Công viên, đi dạo, ngắm cảnh",989333,1.7959676948241636
88,91,Ga Cát Linh,"Tàu điện, chụp ảnh",258107,1.7527748568757957
164,173,Bảo tàng Lịch sử Quốc gia,"Văn hóa, lịch sử, nghệ thuật",979377,1.7354831171865825
22,24,Điện Kính Thiên,"Văn hóa, lịch sử, nghệ thuật",913720,1.7275163570510514
117,123,Industry Cafe,"Đồ uống, thư giãn",728001,1.7269978969505715
54,56,Bánh Xèo Nem Lụi Ngọc Dương Đội Cấn,"Ẩm thực, nghỉ ngơi",453179,1.676334852202352
112,117,Chùa Bộc,"Văn hóa tôn giáo, tâm linh",419241,1.675071562098374
89,92,Chùa Láng,"Văn hóa tôn giáo, tâm linh",253955,1.6640670639093287
139,146,Maison Sen Buffet,"Ẩm thực, nghỉ ngơi",788907,1.6638991120457973
11,13,Chùa Châu Long,"Văn hóa tôn giáo, tâm linh",340476,1.6445262296997285
144,152,Namaste Ha Noi,"Ẩm thực, nghỉ ngơi",575203,1.6357927327958848
175,185,Du lịch sinh thái Bản Rõm,"Du lịch sinh thái, cắm trại",597285,1.6288774973711853
14,16,Vườn Bách Thảo Hà Nội,"Công viên, đi dạo, ngắm cảnh, cắm trại",490032,1.5839540250029174
140,147,THE WISELANDS Coffee,"Đồ uống, thư giãn",501301,1.549881703470028
155,163,Phê La Lý Thường Kiệt,"Đồ uống, thư giãn",536182,1.5402500292090195
128,135,Công viên Tuổi Trẻ Thủ Đô,"Công viên, đi dạo, ngắm cảnh",442764,1.5180146629279108
10,12,Phở Cuốn Hương Mai,"Ẩm thực, nghỉ ngơi",311895,1.502387837364175
162,171,Quán Kem Xôi Thu Nga,"Ẩm thực, nghỉ ngơi",351018,1.4957646921369303
69,71,Highlands Coffee Trung Kính,"Đồ uống, thư giãn",290240,1.4534189157611834
74,76,Starbucks Duy Tân,"Đồ uống, thư giãn",993312,1.4461020563149845
66,68,The Coffee House Vũ Phạm Hàm,"Đồ uống, thư giãn",132153,1.4446854188573397
133,140,KAFA Café,"Đồ uống, thư giãn",743765,1.4441450519920522
46,48,Bún Chả Ngọc Khánh,"Ẩm thực, nghỉ ngơi",712234,1.432198562916227
16,18,Cafe Goethe,"Đồ uống, thư giãn",293689,1.4229393036569675
70,72,AHA Cafe Trung Kính,"Đồ uống, thư giãn",321167,1.3973375978502105
91,94,Bún Đậu Chùa Láng,"Ẩm thực, nghỉ ngơi",601399,1.389911204579974
135,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394,1.3800896716906124
176,186,Việt Phủ Thành Chương,"Kiến trúc, nghệ thuật",223263,1.3679752307512558
76,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",789514,1.3679533239864412
40,42,Bò King Beefsteak,"Ẩm thực, nghỉ ngơi",91502,1.3571021731510626
173,183,Điểm Cắm Trại Hồ Hàm Lợn,"Cắm trại, leo núi, trekking",926175,1.3541593644117285
7,9,Vườn Hoa Hàng Đậu,"Đi dạo, ngắm cảnh",295232,1.3493398761537563
101,105,Tiny Cafe Dreamers,"Đồ uống, thư giãn",636333,1.3391897417922607
159,167,Tràng Tiền Plaza,Trung tâm thương mại,42068,1.309871188222921
132,139,Cháo Sườn Sụn Huyền Anh Đồng Xuân,"Ẩm thực, nghỉ ngơi",424380,1.3068480546792784
151,159,San Ho seafood restaurant,"Ẩm thực, nghỉ ngơi",230338,1.301955543871948
141,148,Cung Văn hóa Lao động Hữu nghị Việt - Xô,"Văn hóa, lịch sử, nghệ thuật",93014,1.2898703119523276
41,43,Thạch Dừa Đồng Tháp,"Đồ uống, thư giãn",742534,1.2851457530085284
165,174,Phở 10 Lý Quốc Sư,"Ẩm thực, nghỉ ngơi",197573,1.284744128987029
93,96,La Mensa,"Đồ uống, thư giãn",81565,1.26518869026755
72,74,Chùa Cót,"Văn hóa tôn giáo, tâm linh",667564,1.2576819721930121
161,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",758680,1.2523221170697454
87,89,Nguyen Art Gallery - Vietnam Artworks & Paintings,"Triển lãm, nghệ thuật",128975,1.2263552985161752
177,187,Nhà văn hóa quận Thanh Xuân,"Tổ hợp thể thao, đi dạo ngắm cảnh",728171,1.1762837364178012
170,180,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",359546,1.1495866923705975
169,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",338034,1.1494844608014958
78,80,Gác Trịnh Cafe Trần Thái Tông,"Đồ uống, thư giãn",51918,1.1206624605678215
2,4,Bốt Nước Hàng Đậu,"Đi dạo, ngắm cảnh",161794,1.1182892277135181
92,95,Nhà Hàng Chả Cá Lão Ngư,"Ẩm thực, nghỉ ngơi",877421,1.0136990302605398
5,7,Cửa Bắc thành Hà Nội,"Văn hóa, lịch sử, nghệ thuật",167320,0.9799187989251052
172,182,Hồ Đồng Đò,"Du lịch nghỉ dưỡng, cắm trại, bơi thuyền, ngắm cảnh",356398,0.937967344315922
17,19,Bảo tàng Mỹ thuật Việt Nam,"Văn hóa, lịch sử, nghệ thuật",261830,0.8697277719359704
68,70,Cộng Cà Phê Trung Hòa,"Đồ uống, thư giãn",825878,0.7490872181329564
130,137,VinKE & Thủy Cung Times City,"Thủy cung, vui chơi giải trí",828679,0.6530479612104187
60,62,Soya Garden,"Đồ uống, thư giãn",88239,0.19827082603107726
94,97,Highlands coffee Yên Lãng,"Đồ uống, thư giãn",321576,0.15771410211473125
39,41,Haan Vegan - Buffet Chay,"Ẩm thực, nghỉ ngơi",662727,0.0
